test,ber,snr,throughput,M,cplen,pilotSpacing,numActiveCarriers,useCoding,fc,distance,volume,constraintLength,modscheme
pilot_sweep,0.001604,-12.2433,5208.3333,4,256,6,300,0,8000,1.5,75,3,qpsk
pilot_sweep,0.001151,-8.2774,5354.1667,4,256,7,300,0,8000,1.5,75,3,qpsk
pilot_sweep,0.000977,-7.6658,5354.1667,4,256,7,300,0,8000,1.5,75,3,qpsk
pilot_sweep,0.001046,-9.2095,5354.1667,4,256,7,300,0,8000,1.5,75,3,qpsk
pilot_sweep,0.001953,-8.6074,5458.3333,4,256,8,300,0,8000,1.5,75,3,qpsk
pilot_sweep,0.001988,-5.5725,5458.3333,4,256,8,300,0,8000,1.5,75,3,qpsk
pilot_sweep,0.001918,-7.7607,5458.3333,4,256,8,300,0,8000,1.5,75,3,qpsk
pilot_sweep,0.003976,-9.2863,5541.6667,4,256,9,300,0,8000,1.5,75,3,qpsk
pilot_sweep,0.002128,-5.5329,5458.3333,4,256,8,300,0,8000,1.5,75,3,qpsk
pilot_sweep,0.000907,-13.252,5625,4,256,10,300,0,8000,1.5,75,3,qpsk
pilot_sweep,0.000837,-12.8384,5625,4,256,10,300,0,8000,1.5,75,3,qpsk
pilot_sweep,0.000698,-12.0875,5625,4,256,10,300,0,8000,1.5,75,3,qpsk
pilot_sweep,0.000698,-13.3178,5625,4,256,10,300,0,8000,1.5,75,3,qpsk
pilot_sweep,0.000558,-12.0316,5729.1667,4,256,12,300,0,8000,1.5,75,3,qpsk
pilot_sweep,0.000558,-12.5395,5729.1667,4,256,12,300,0,8000,1.5,75,3,qpsk
pilot_sweep,0.000453,-11.9432,5729.1667,4,256,12,300,0,8000,1.5,75,3,qpsk
pilot_sweep,0.000209,-11.6473,5833.3333,4,256,15,300,0,8000,1.5,75,3,qpsk
pilot_sweep,0.000279,-10.7712,5833.3333,4,256,15,300,0,8000,1.5,75,3,qpsk
pilot_sweep,0.000349,-12.3474,5833.3333,4,256,15,300,0,8000,1.5,75,3,qpsk
pilot_sweep,0.00136,-2.4365,1666.6667,4,256,5,100,0,8000,1.5,75,3,qpsk
pilot_sweep,0.000593,-1.1486,1875,4,256,10,100,0,8000,1.5,75,3,qpsk
pilot_spacing_comp,0.001848,-14.6509,6666.6667,4,256,5,400,0,8000,1.5,75,3,qpsk
pilot_spacing_comp,0.001953,-14.8898,6666.6667,4,256,5,400,0,8000,1.5,75,3,qpsk
pilot_spacing_comp,0.002058,-14.1237,6666.6667,4,256,5,400,0,8000,1.5,75,3,qpsk
pilot_spacing_comp,0.000384,-11.593,7500,4,256,10,400,0,8000,1.5,75,3,qpsk
pilot_spacing_comp,0.000453,-11.5318,7500,4,256,10,400,0,8000,1.5,75,3,qpsk
pilot_spacing_comp,0.002058,-14.426,6666.6667,4,256,5,400,0,8000,1.5,75,3,qpsk
pilot_spacing_comp,0.000453,-12.3937,7500,4,256,10,400,0,8000,1.5,75,3,qpsk
pilot_spacing_comp,0.000384,-12.3958,7500,4,256,10,400,0,8000,1.5,75,3,qpsk
carrier_sweep,0.001325,-2.9714,1666.6667,4,256,5,100,0,8000,1.5,75,3,qpsk
carrier_sweep,0.001046,-2.6636,1666.6667,4,256,5,100,0,8000,1.5,75,3,qpsk
carrier_sweep,0.001081,-2.7694,1666.6667,4,256,5,100,0,8000,1.5,75,3,qpsk
carrier_sweep,0.000279,-3.7132,2500,4,256,5,150,0,8000,1.5,75,3,qpsk
carrier_sweep,0.000384,-4.1384,2500,4,256,5,150,0,8000,1.5,75,3,qpsk
carrier_sweep,0.000349,-3.8127,2500,4,256,5,150,0,8000,1.5,75,3,qpsk
carrier_sweep,0.001186,-6.3757,3333.3333,4,256,5,200,0,8000,1.5,75,3,qpsk
carrier_sweep,0.001256,-6.0195,3333.3333,4,256,5,200,0,8000,1.5,75,3,qpsk
carrier_sweep,0.001325,-6.4493,3333.3333,4,256,5,200,0,8000,1.5,75,3,qpsk
carrier_sweep,0.001221,-6.4285,3333.3333,4,256,5,200,0,8000,1.5,75,3,qpsk
carrier_sweep,0.000105,-8.6173,4166.6667,4,256,5,250,0,8000,1.5,75,3,qpsk
carrier_sweep,0.000105,-8.6336,4166.6667,4,256,5,250,0,8000,1.5,75,3,qpsk
carrier_sweep,0.00014,-8.2964,4166.6667,4,256,5,250,0,8000,1.5,75,3,qpsk
carrier_sweep,0.000279,-9.6832,5000,4,256,5,300,0,8000,1.5,75,3,qpsk
carrier_sweep,0.000209,-9.7428,5000,4,256,5,300,0,8000,1.5,75,3,qpsk
carrier_sweep,0.000209,-10.5432,5000,4,256,5,300,0,8000,1.5,75,3,qpsk
carrier_sweep,0.000279,-16.0662,5833.3333,4,256,5,350,0,8000,1.5,75,3,qpsk
carrier_sweep,0.000314,-14.2696,5833.3333,4,256,5,350,0,8000,1.5,75,3,qpsk
carrier_sweep,0.000174,-13.2899,5833.3333,4,256,5,350,0,8000,1.5,75,3,qpsk
carrier_sweep,0.001883,-12.5809,6666.6667,4,256,5,400,0,8000,1.5,75,3,qpsk
carrier_sweep,0.001953,-11.808,6666.6667,4,256,5,400,0,8000,1.5,75,3,qpsk
carrier_sweep,0.001918,-12.0386,6666.6667,4,256,5,400,0,8000,1.5,75,3,qpsk
carrier_sweep,0.000384,-12.935,7500,4,256,5,450,0,8000,1.5,75,3,qpsk
carrier_sweep,0.000453,-14.0314,7500,4,256,5,450,0,8000,1.5,75,3,qpsk
carrier_sweep,0.000314,-13.2894,7500,4,256,5,450,0,8000,1.5,75,3,qpsk
carrier_sweep,0.000384,-13.0459,7500,4,256,5,450,0,8000,1.5,75,3,qpsk
carrier_sweep,0.000419,-15.1562,8333.3333,4,256,5,500,0,8000,1.5,75,3,qpsk
carrier_sweep,0.000453,-15.5505,8333.3333,4,256,5,500,0,8000,1.5,75,3,qpsk
carrier_sweep,0.000488,-14.9448,8333.3333,4,256,5,500,0,8000,1.5,75,3,qpsk
carrier_sweep,0.002825,-16.8775,9166.6667,4,256,5,550,0,8000,1.5,75,3,qpsk
carrier_sweep,0.00293,-16.4818,9166.6667,4,256,5,550,0,8000,1.5,75,3,qpsk
carrier_sweep,0.00286,-17.4452,9166.6667,4,256,5,550,0,8000,1.5,75,3,qpsk
carrier_sweep,0.006906,-18.4474,10000,4,256,5,600,0,8000,1.5,75,3,qpsk
carrier_sweep,0.006975,-17.9968,10000,4,256,5,600,0,8000,1.5,75,3,qpsk
carrier_sweep,0.006871,-18.3974,10000,4,256,5,600,0,8000,1.5,75,3,qpsk
carrier_sweep,0.00701,-18.105,10000,4,256,5,600,0,8000,1.5,75,3,qpsk
carrier_sweep,0.00708,-18.6904,10833.3333,4,256,5,650,0,8000,1.5,75,3,qpsk
carrier_sweep,0.006627,-19.5105,10833.3333,4,256,5,650,0,8000,1.5,75,3,qpsk
carrier_sweep,0.006836,-19.5756,10833.3333,4,256,5,650,0,8000,1.5,75,3,qpsk
carrier_sweep,0.025146,-20.6377,11666.6667,4,256,5,700,0,8000,1.5,75,3,qpsk
carrier_sweep,0.025112,-20.8282,11666.6667,4,256,5,700,0,8000,1.5,75,3,qpsk
fc_carrier_sweep,0.000488,-3.7664,1666.6667,4,256,5,100,0,4000,1.5,75,3,qpsk
fc_carrier_sweep,0.000732,-0.9061,1666.6667,4,256,5,100,0,4000,1.5,75,3,qpsk
fc_carrier_sweep,0.000732,-3.724,1666.6667,4,256,5,100,0,4000,1.5,75,3,qpsk
fc_carrier_sweep,0.000593,-0.7845,1666.6667,4,256,5,100,0,4000,1.5,75,3,qpsk
fc_carrier_sweep,0.008754,-4.2626,3333.3333,4,256,5,200,0,4000,1.5,75,3,qpsk
fc_carrier_sweep,0.009068,-4.5002,3333.3333,4,256,5,200,0,4000,1.5,75,3,qpsk
fc_carrier_sweep,0.009347,-6.2286,3333.3333,4,256,5,200,0,4000,1.5,75,3,qpsk
fc_carrier_sweep,0.009521,-6.0062,3333.3333,4,256,5,200,0,4000,1.5,75,3,qpsk
fc_carrier_sweep,0.00858,-9.0277,5000,4,256,5,300,0,4000,1.5,75,3,qpsk
fc_carrier_sweep,0.009417,-10.0202,5000,4,256,5,300,0,4000,1.5,75,3,qpsk
fc_carrier_sweep,0.007987,-10.1182,5000,4,256,5,300,0,4000,1.5,75,3,qpsk
fc_carrier_sweep,0.008789,-10.1955,5000,4,256,5,300,0,4000,1.5,75,3,qpsk
fc_carrier_sweep,0.056396,-12.1455,6666.6667,4,256,5,400,0,4000,1.5,75,3,qpsk
fc_carrier_sweep,0.056989,-12.2398,6666.6667,4,256,5,400,0,4000,1.5,75,3,qpsk
fc_carrier_sweep,0.056571,-13.053,6666.6667,4,256,5,400,0,4000,1.5,75,3,qpsk
fc_carrier_sweep,0.00143,-1.3711,1666.6667,4,256,5,100,0,5000,1.5,75,3,qpsk
fc_carrier_sweep,0.000977,-1.4631,1666.6667,4,256,5,100,0,5000,1.5,75,3,qpsk
fc_carrier_sweep,0.000732,-1.7379,1666.6667,4,256,5,100,0,5000,1.5,75,3,qpsk
fc_carrier_sweep,0.000802,-1.7689,1666.6667,4,256,5,100,0,5000,1.5,75,3,qpsk
fc_carrier_sweep,0.001988,-4.6671,3333.3333,4,256,5,200,0,5000,1.5,75,3,qpsk
fc_carrier_sweep,0.001918,-3.3525,3333.3333,4,256,5,200,0,5000,1.5,75,3,qpsk
fc_carrier_sweep,0.001814,-5.3932,3333.3333,4,256,5,200,0,5000,1.5,75,3,qpsk
fc_carrier_sweep,0.001848,-6.2128,3333.3333,4,256,5,200,0,5000,1.5,75,3,qpsk
fc_carrier_sweep,0.001953,-3.5378,3333.3333,4,256,5,200,0,5000,1.5,75,3,qpsk
fc_carrier_sweep,0.003174,-9.7592,5000,4,256,5,300,0,5000,1.5,75,3,qpsk
fc_carrier_sweep,0.003627,-9.7246,5000,4,256,5,300,0,5000,1.5,75,3,qpsk
fc_carrier_sweep,0.003488,-10.1008,5000,4,256,5,300,0,5000,1.5,75,3,qpsk
fc_carrier_sweep,0.01137,-13.9157,6666.6667,4,256,5,400,0,5000,1.5,75,3,qpsk
fc_carrier_sweep,0.012068,-14.2249,6666.6667,4,256,5,400,0,5000,1.5,75,3,qpsk
fc_carrier_sweep,0.059919,-16.1238,8333.3333,4,256,5,500,0,5000,1.5,75,3,qpsk
fc_carrier_sweep,0.062674,-12.4113,8333.3333,4,256,5,500,0,5000,1.5,75,3,qpsk
fc_carrier_sweep,0.062674,-15.7958,8333.3333,4,256,5,500,0,5000,1.5,75,3,qpsk
fc_carrier_sweep,0.003069,-1.5765,1666.6667,4,256,5,100,0,6000,1.5,75,3,qpsk
fc_carrier_sweep,0.000279,-1.284,1666.6667,4,256,5,100,0,6000,1.5,75,3,qpsk
fc_carrier_sweep,0.000174,-1.5913,1666.6667,4,256,5,100,0,6000,1.5,75,3,qpsk
fc_carrier_sweep,0.001395,-6.3318,3333.3333,4,256,5,200,0,6000,1.5,75,3,qpsk
fc_carrier_sweep,0.001744,-6.3595,3333.3333,4,256,5,200,0,6000,1.5,75,3,qpsk
fc_carrier_sweep,0.002162,-6.5379,3333.3333,4,256,5,200,0,6000,1.5,75,3,qpsk
fc_carrier_sweep,0.001814,-5.7026,3333.3333,4,256,5,200,0,6000,1.5,75,3,qpsk
fc_carrier_sweep,0.001046,-9.3395,5000,4,256,5,300,0,6000,1.5,75,3,qpsk
fc_carrier_sweep,0.001081,-10.3878,5000,4,256,5,300,0,6000,1.5,75,3,qpsk
fc_carrier_sweep,0.000942,-9.7113,5000,4,256,5,300,0,6000,1.5,75,3,qpsk
fc_carrier_sweep,0.00422,-13.2097,6666.6667,4,256,5,400,0,6000,1.5,75,3,qpsk
fc_carrier_sweep,0.003732,-12.4736,6666.6667,4,256,5,400,0,6000,1.5,75,3,qpsk
fc_carrier_sweep,0.004011,-13.6967,6666.6667,4,256,5,400,0,6000,1.5,75,3,qpsk
fc_carrier_sweep,0.009626,-16.1353,8333.3333,4,256,5,500,0,6000,1.5,75,3,qpsk
fc_carrier_sweep,0.01144,-9.0325,8333.3333,4,256,5,500,0,6000,1.5,75,3,qpsk
fc_carrier_sweep,0.010742,-15.9691,8333.3333,4,256,5,500,0,6000,1.5,75,3,qpsk
fc_carrier_sweep,0.009556,-16.8016,8333.3333,4,256,5,500,0,6000,1.5,75,3,qpsk
fc_carrier_sweep,0.011684,-15.8033,8333.3333,4,256,5,500,0,6000,1.5,75,3,qpsk
fc_carrier_sweep,0.059117,-16.9556,10000,4,256,5,600,0,6000,1.5,75,3,qpsk
fc_carrier_sweep,0.059919,-16.9579,10000,4,256,5,600,0,6000,1.5,75,3,qpsk
fc_carrier_sweep,0.060477,-17.0795,10000,4,256,5,600,0,6000,1.5,75,3,qpsk
fc_carrier_sweep,0.001116,-1.5186,1666.6667,4,256,5,100,0,7000,1.5,75,3,qpsk
fc_carrier_sweep,0.001116,-1.0994,1666.6667,4,256,5,100,0,7000,1.5,75,3,qpsk
fc_carrier_sweep,0.000244,-1.4282,1666.6667,4,256,5,100,0,7000,1.5,75,3,qpsk
fc_carrier_sweep,0.000558,-1.5643,1666.6667,4,256,5,100,0,7000,1.5,75,3,qpsk
fc_carrier_sweep,0.000419,-1.7351,1666.6667,4,256,5,100,0,7000,1.5,75,3,qpsk
fc_carrier_sweep,0.000942,-5.0992,3333.3333,4,256,5,200,0,7000,1.5,75,3,qpsk
fc_carrier_sweep,0.000977,-5.0757,3333.3333,4,256,5,200,0,7000,1.5,75,3,qpsk
fc_carrier_sweep,0.001186,-3.7868,3333.3333,4,256,5,200,0,7000,1.5,75,3,qpsk
fc_carrier_sweep,0.001256,-4.7963,3333.3333,4,256,5,200,0,7000,1.5,75,3,qpsk
fc_carrier_sweep,0.001325,-3.362,3333.3333,4,256,5,200,0,7000,1.5,75,3,qpsk
fc_carrier_sweep,0.000279,-8.7285,5000,4,256,5,300,0,7000,1.5,75,3,qpsk
fc_carrier_sweep,0.000174,-6.3392,5000,4,256,5,300,0,7000,1.5,75,3,qpsk
fc_carrier_sweep,0.000349,-8.1432,5000,4,256,5,300,0,7000,1.5,75,3,qpsk
fc_carrier_sweep,0.000558,-6.4935,5000,4,256,5,300,0,7000,1.5,75,3,qpsk
fc_carrier_sweep,0.000419,-6.4117,5000,4,256,5,300,0,7000,1.5,75,3,qpsk
fc_carrier_sweep,0.001569,-11.3415,6666.6667,4,256,5,400,0,7000,1.5,75,3,qpsk
fc_carrier_sweep,0.001848,-12.145,6666.6667,4,256,5,400,0,7000,1.5,75,3,qpsk
fc_carrier_sweep,0.002128,-11.4596,6666.6667,4,256,5,400,0,7000,1.5,75,3,qpsk
fc_carrier_sweep,0.002023,-10.7984,6666.6667,4,256,5,400,0,7000,1.5,75,3,qpsk
fc_carrier_sweep,0.002023,-11.9692,6666.6667,4,256,5,400,0,7000,1.5,75,3,qpsk
fc_carrier_sweep,0.002825,-14.5356,8333.3333,4,256,5,500,0,7000,1.5,75,3,qpsk
fc_carrier_sweep,0.00279,-15.0322,8333.3333,4,256,5,500,0,7000,1.5,75,3,qpsk
fc_carrier_sweep,0.003836,-14.6204,8333.3333,4,256,5,500,0,7000,1.5,75,3,qpsk
fc_carrier_sweep,0.003278,-15.5405,8333.3333,4,256,5,500,0,7000,1.5,75,3,qpsk
fc_carrier_sweep,0.003313,-15.304,8333.3333,4,256,5,500,0,7000,1.5,75,3,qpsk
fc_carrier_sweep,0.020717,-11.2639,10000,4,256,5,600,0,7000,1.5,75,3,qpsk
fc_carrier_sweep,0.0226,-9.639,10000,4,256,5,600,0,7000,1.5,75,3,qpsk
fc_carrier_sweep,0.023193,-9.5328,10000,4,256,5,600,0,7000,1.5,75,3,qpsk
fc_carrier_sweep,0.021729,-13.8725,10000,4,256,5,600,0,7000,1.5,75,3,qpsk
fc_carrier_sweep,0.020717,-17.507,10000,4,256,5,600,0,7000,1.5,75,3,qpsk
fc_carrier_sweep,0.048968,-19.7499,11666.6667,4,256,5,700,0,7000,1.5,75,3,qpsk
fc_carrier_sweep,0.048061,-19.176,11666.6667,4,256,5,700,0,7000,1.5,75,3,qpsk
fc_carrier_sweep,0.049003,-18.7119,11666.6667,4,256,5,700,0,7000,1.5,75,3,qpsk
fc_carrier_sweep,0.04841,-17.6398,11666.6667,4,256,5,700,0,7000,1.5,75,3,qpsk
fc_carrier_sweep,0.047921,-19.0015,11666.6667,4,256,5,700,0,7000,1.5,75,3,qpsk
fc_carrier_sweep,0.074393,-19.6577,13333.3333,4,256,5,800,0,7000,1.5,75,3,qpsk
fc_carrier_sweep,0.071463,-19.7224,13333.3333,4,256,5,800,0,7000,1.5,75,3,qpsk
fc_carrier_sweep,0.071638,-22.2056,13333.3333,4,256,5,800,0,7000,1.5,75,3,qpsk
fc_carrier_sweep,0.070173,-21.5721,13333.3333,4,256,5,800,0,7000,1.5,75,3,qpsk
fc_carrier_sweep,0.070696,-22.2385,13333.3333,4,256,5,800,0,7000,1.5,75,3,qpsk
fc_carrier_sweep,0.001883,-2.0735,1666.6667,4,256,5,100,0,8000,1.5,75,3,qpsk
fc_carrier_sweep,0.001081,-2.7196,1666.6667,4,256,5,100,0,8000,1.5,75,3,qpsk
fc_carrier_sweep,0.000942,-2.5522,1666.6667,4,256,5,100,0,8000,1.5,75,3,qpsk
fc_carrier_sweep,0.000314,-2.8958,1666.6667,4,256,5,100,0,8000,1.5,75,3,qpsk
fc_carrier_sweep,0.000349,-1.6536,1666.6667,4,256,5,100,0,8000,1.5,75,3,qpsk
fc_carrier_sweep,0.003069,-5.022,3333.3333,4,256,5,200,0,8000,1.5,75,3,qpsk
fc_carrier_sweep,0.002999,-5.2113,3333.3333,4,256,5,200,0,8000,1.5,75,3,qpsk
fc_carrier_sweep,0.001186,-4.631,3333.3333,4,256,5,200,0,8000,1.5,75,3,qpsk
fc_carrier_sweep,0.001011,-5.5628,3333.3333,4,256,5,200,0,8000,1.5,75,3,qpsk
fc_carrier_sweep,0.001116,-6.0814,3333.3333,4,256,5,200,0,8000,1.5,75,3,qpsk
fc_carrier_sweep,0.000384,-10.1782,5000,4,256,5,300,0,8000,1.5,75,3,qpsk
fc_carrier_sweep,0.000384,-9.1908,5000,4,256,5,300,0,8000,1.5,75,3,qpsk
fc_carrier_sweep,0.000384,-9.1977,5000,4,256,5,300,0,8000,1.5,75,3,qpsk
fc_carrier_sweep,0.000732,-10.1258,5000,4,256,5,300,0,8000,1.5,75,3,qpsk
fc_carrier_sweep,0.000558,-6.4522,5000,4,256,5,300,0,8000,1.5,75,3,qpsk
fc_carrier_sweep,0.001535,-12.17,6666.6667,4,256,5,400,0,8000,1.5,75,3,qpsk
fc_carrier_sweep,0.001744,-11.2098,6666.6667,4,256,5,400,0,8000,1.5,75,3,qpsk
fc_carrier_sweep,0.001744,-11.1252,6666.6667,4,256,5,400,0,8000,1.5,75,3,qpsk
fc_carrier_sweep,0.002023,-10.7143,6666.6667,4,256,5,400,0,8000,1.5,75,3,qpsk
fc_carrier_sweep,0.001814,-10.6899,6666.6667,4,256,5,400,0,8000,1.5,75,3,qpsk
fc_carrier_sweep,0.000279,-15.2231,8333.3333,4,256,5,500,0,8000,1.5,75,3,qpsk
fc_carrier_sweep,0.001186,-14.5147,8333.3333,4,256,5,500,0,8000,1.5,75,3,qpsk
fc_carrier_sweep,0.000453,-15.2558,8333.3333,4,256,5,500,0,8000,1.5,75,3,qpsk
fc_carrier_sweep,0.006731,-17.4038,10000,4,256,5,600,0,8000,1.5,75,3,qpsk
fc_carrier_sweep,0.005859,-17.1749,10000,4,256,5,600,0,8000,1.5,75,3,qpsk
fc_carrier_sweep,0.005336,-17.4366,10000,4,256,5,600,0,8000,1.5,75,3,qpsk
fc_carrier_sweep,0.008266,-17.6633,10000,4,256,5,600,0,8000,1.5,75,3,qpsk
fc_carrier_sweep,0.006662,-17.6132,10000,4,256,5,600,0,8000,1.5,75,3,qpsk
